Date,Open,High,Low,Close,Adj Close,Volume,Quarter
2/13/2019,39.279999,39.389999,38.82,39,37.827648,6735900,Q2
2/14/2019,38.810001,39.09,38.709999,38.889999,37.720947,7050500,Q2
2/15/2019,39.060001,39.189999,38.740002,39.09,37.914936,8582300,Q2
2/19/2019,38.98,39.68,38.91,39.529999,38.341709,9122200,Q2
2/20/2019,39.639999,40.099998,39.52,39.950001,38.749084,9794800,Q2
2/21/2019,40,40.200001,39.540001,39.619999,38.429001,7436000,Q2
2/22/2019,39.84,40.009998,39.439999,39.990002,38.787884,6742300,Q2
2/25/2019,40.25,40.459999,40.09,40.139999,38.933372,9252300,Q2
2/26/2019,39.91,40.360001,39.830002,40.110001,38.904278,7611600,Q2
2/27/2019,40.09,40.16,39.779999,40,38.797581,8671900,Q2
2/28/2019,39.82,39.91,39.200001,39.48,38.293213,9053400,Q2
3/1/2019,39.849998,39.970001,39.049999,39.529999,38.341709,7706200,Q2
3/4/2019,39.700001,41.5,39.029999,39.25,38.070129,7524500,Q2
3/5/2019,39.279999,39.419998,39.02,39.279999,38.099224,4866200,Q2
3/6/2019,39.240002,39.290001,38.490002,38.669998,37.507565,9413300,Q2
3/7/2019,38.099998,38.34,37.639999,38.040001,37.262672,8999800,Q2
3/8/2019,37.630001,38.040001,37.5,37.990002,37.213696,6911000,Q2
3/11/2019,38.080002,38.790001,38,38.619999,37.830818,12218800,Q2
3/12/2019,38.700001,39.029999,38.5,38.619999,37.830818,6633600,Q2
3/13/2019,38.740002,39.029999,38.599998,38.799999,38.007137,7334100,Q2
3/14/2019,38.759998,38.82,37.939999,38.029999,37.252876,8692900,Q2
3/15/2019,38.040001,38.290001,37.880001,38.07,37.292057,16854700,Q2
3/18/2019,38.18,38.240002,37.619999,37.98,37.203899,7583800,Q2
3/19/2019,38.310001,38.75,38.040001,38.27,37.487972,9003300,Q2
3/20/2019,37.740002,37.939999,36.779999,37,36.243923,11680000,Q2
3/21/2019,37,37.380001,36.779999,37.349998,36.586769,8168100,Q2
3/22/2019,37.09,37.299999,36.279999,36.439999,35.695366,10049500,Q2
3/25/2019,36.48,37.029999,36.259998,36.75,35.999031,6922200,Q2
3/26/2019,36.93,36.98,36.560001,36.869999,36.116581,6867200,Q2
3/27/2019,36.919998,37.240002,36.470001,36.610001,35.861893,7006500,Q2
3/28/2019,36.700001,37.23,36.66,37.060001,36.3027,5591300,Q2
3/29/2019,37.310001,37.400002,36.919998,37.099998,36.341877,9432600,Q2
4/1/2019,37.400002,37.82,37.330002,37.759998,36.988392,7145600,Q2
4/2/2019,37.830002,38.009998,37.610001,37.810001,37.037373,5667100,Q2
4/3/2019,38.25,38.639999,38.23,38.389999,37.605518,8815300,Q2
4/4/2019,38.400002,38.939999,38.389999,38.790001,37.997345,7116100,Q2
4/5/2019,38.849998,39.009998,38.580002,38.939999,38.144276,4497800,Q2
4/8/2019,38.77,39.09,38.759998,39.060001,38.261829,5992400,Q2
4/9/2019,38.849998,39.080002,38.700001,38.860001,38.065918,6528900,Q2
4/10/2019,38.889999,39.419998,38.779999,39.25,38.447945,5471100,Q2
4/11/2019,39.380001,39.59,39.130001,39.330002,38.52631,4581500,Q2
4/12/2019,39.599998,40.049999,39.529999,39.709999,38.898544,4949700,Q2
4/15/2019,39.900002,40.009998,39.349998,39.57,38.761406,5179400,Q2
4/16/2019,39.560001,39.91,39.459999,39.66,38.849567,5985300,Q2
4/17/2019,40.099998,40.259998,39.880001,39.990002,39.172825,8643500,Q2
4/18/2019,40,40.450001,39.98,40.299999,39.476486,10678000,Q2
4/22/2019,40,40.099998,39.490002,39.5,38.692837,7203800,Q2
4/23/2019,39.400002,39.84,39.18,39.830002,39.016098,9507500,Q2
4/24/2019,39.509998,39.889999,39.369999,39.720001,38.90834,5564700,Q2
4/25/2019,39.52,39.720001,38.950001,39.110001,38.310806,8154600,Q2
4/26/2019,40.049999,40.099998,39.439999,39.68,38.86916,11830500,Q2
4/29/2019,39.75,40.279999,39.689999,40.009998,39.192413,9601100,Q2
4/30/2019,38.919998,39.470001,38.560001,38.950001,38.154079,16035500,Q3
5/1/2019,39,39.200001,38.66,38.75,37.95816,8843300,Q3
5/2/2019,38.459999,38.84,38.200001,38.25,37.46838,11291900,Q3
5/3/2019,38.540001,38.900002,38.169998,38.799999,38.007137,7201000,Q3
5/6/2019,37.5,38.169998,37.25,38.09,37.311649,7506200,Q3
5/7/2019,38.860001,38.889999,38.27,38.529999,37.742657,11257000,Q3
5/8/2019,38.419998,38.779999,38.139999,38.209999,37.429195,7082900,Q3
5/9/2019,37.59,37.669998,37.220001,37.580002,36.812073,8898600,Q3
5/10/2019,37.5,37.98,37.040001,37.889999,37.115738,6440600,Q3
5/13/2019,36.849998,37.119999,36.450001,36.560001,35.812916,19454800,Q3
5/14/2019,36.810001,37.389999,36.68,37.040001,36.283104,6534600,Q3
5/15/2019,36.630001,37.560001,36.48,37.369999,36.606361,8190400,Q3
5/16/2019,37.299999,37.619999,37.130001,37.380001,36.616158,5734600,Q3
5/17/2019,37.009998,37.360001,36.849998,37,36.243923,7970000,Q3
5/20/2019,36.66,37,36.639999,36.970001,36.214539,17521900,Q3
5/21/2019,37,37.240002,36.73,37.130001,36.371265,8387600,Q3
5/22/2019,37,37.049999,35.41,35.549999,34.823555,13264100,Q3
5/23/2019,35.150002,35.18,34.349998,35.130001,34.412136,13746200,Q3
5/24/2019,35.400002,35.419998,34.869999,35.119999,34.40234,5262500,Q3
5/28/2019,35.200001,35.34,34.709999,34.849998,34.137856,7895400,Q3
5/29/2019,34.669998,34.849998,34.32,34.790001,34.079082,12911200,Q3
5/30/2019,34.759998,35.09,34.48,34.82,34.108471,8550000,Q3
5/31/2019,33.299999,33.700001,33.150002,33.34,32.658714,15779900,Q3
